"task","user","slide","x","y","bb","type","timestamp"
"task1","qqq","s1","1183.1743030304717","594.8724239245022","bottomright","none","5.057"
"task1","qqq","s1","1090.1281055286413","556.8347831271158","bottomright","none","5.148"
"task1","qqq","s1","1057.9050305936075","521.2909195061208","bottomright","none","5.199"
"task1","qqq","s1","915.2670672427222","528.9460393370443","bottomright","none","5.266"
"task1","qqq","s1","881.6971770813727","478.4070942117612","hat","L","5.331"
"task1","qqq","s1","799.2438734182253","559.0416978821462","hat","L","5.4"
"task1","qqq","s1","794.9537784361768","576.6329883060727","bottomright","none","5.465"
"task1","qqq","s1","946.9749583551823","496.9588916201899","bottomright","none","5.529"
"task1","qqq","s1","955.3959334071172","529.0905876958716","bottomright","none","5.596"
"task1","qqq","s1","985.1047514591472","556.4230903457849","bottomright","none","5.657"
"task1","qqq","s1","926.5791493044076","507.8207039398819","bottomright","none","5.738"
"task1","qqq","s1","721.7007250880762","596.7609999408215","bottomright","none","5.796"
"task1","qqq","s1","826.1837263913401","737.0189002848705","bottomright","none","5.86"
"task1","qqq","s1","703.9962232369897","702.0815428715077","bottomright","none","5.922"
"task1","qqq","s1","557.7146787629911","695.5457374324661","bottomleft","none","5.985"
"task1","qqq","s1","483.64308106422294","620.2802429506492","bottomleft","none","6.043"
"task1","qqq","s1","438.92742163145795","630.7188981001583","bottomleft","none","6.103"
"task1","qqq","s1","525.3758523498265","588.3511613892716","bottomleft","none","6.176"
"task1","qqq","s1","465.6876936885897","544.9185938224177","hat","L","6.237"
"task1","qqq","s1","533.8688829602263","640.8513664167639","bottomleft","none","6.305"
"task1","qqq","s1","711.5300111452328","468.3093012837432","hat","L","6.381"
"task1","qqq","s1","656.5161734414779","501.00644186805545","hat","L","6.449"
"task1","qqq","s1","698.2412104853782","447.3777761244705","hat","L","6.512"
"task1","qqq","s1","748.2110139121668","370.23482098452274","hat","L","6.587"
"task1","qqq","s1","910.5059208150428","407.2760164459055","bottomright","none","6.652"
"task1","qqq","s1","885.9484691654267","453.90391400605887","hat","L","6.735"
"task1","qqq","s1","1033.2194823937905","471.98973661120044","bottomright","none","6.796"
"task1","qqq","s1","1170.0294309967335","446.399055710581","bottomright","none","6.851"
"task1","qqq","s1","1116.107416599611","434.01102138984095","bottomright","none","6.912"
"task1","qqq","s1","1174.0995187611052","445.77153032176193","bottomright","none","6.966"
"task1","qqq","s1","1240.1546750667114","507.7191788490917","bottomright","none","7.018"
"task1","qqq","s1","1169.630146102961","434.5414259369506","bottomright","none","7.076"
"task1","qqq","s1","1040.4796489520422","463.6414383466192","bottomright","none","7.132"
"task1","qqq","s1","958.5019941380642","549.3394618715536","bottomright","none","7.201"
"task1","qqq","s1","959.09862034549","578.11260097515","bottomright","none","7.262"
"task1","qqq","s1","988.7132070106733","594.1863675199577","bottomright","none","7.318"
"task1","qqq","s1","846.3010874834602","397.64799943617766","hat","L","7.379"
"task1","qqq","s1","794.1704436096402","297.5137847865177","hat","L","7.443"
"task1","qqq","s1","896.559096516889","308.8156823916215","topright","none","7.512"
"task1","qqq","s1","832.4370269786396","302.3965792377925","hat","L","7.579"
"task1","qqq","s1","745.7612247117139","246.97681944024527","hat","L","7.636"
"task1","qqq","s1","720.70262110014","171.3346483627635","topright","none","7.71"
"task1","qqq","s1","668.6101233944709","228.00638032881454","hat","L","7.771"
"task1","qqq","s1","685.6388344799982","224.98929199639568","hat","L","7.837"
"task1","qqq","s1","539.6554574404888","245.34106599713422","hat","L","7.912"
"task1","qqq","s1","582.5049222828007","178.74720566800747","topleft","none","7.97"
"task1","qqq","s1","654.7373325904077","220.0266469899698","hat","L","8.039"
"task1","qqq","s1","755.2270221337221","275.15506214425534","hat","L","8.103"
"task1","qqq","s1","927.7533622218984","300.4503505690018","topright","none","8.18"
"task1","qqq","s1","1037.358494920498","207.4040174462276","topright","none","8.237"
"task1","qqq","s1","1038.2726103092073","242.06648140234324","topright","none","8.305"
"task1","qqq","s1","1113.9833245044395","385.3489252530168","bottomright","none","8.371"
"task1","qqq","s1","1089.3362958000453","416.0395414103559","bottomright","none","8.442"
"task1","qqq","s1","1114.7915916297006","448.23636147244696","bottomright","none","8.525"
"task1","qqq","s1","1045.502421756312","499.0334106408199","bottomright","none","8.583"
"task1","qqq","s1","1057.2597906173448","602.5984800077322","bottomright","none","8.636"
"task1","qqq","s1","956.1316579488039","575.4331445191185","bottomright","none","8.715"
"task1","qqq","s1","1054.070197611502","442.63188233179864","bottomright","none","8.773"
"task1","qqq","s1","905.7390531943441","395.96682692630037","bottomright","none","8.849"
"task1","qqq","s1","791.8567141431274","418.4412665512473","hat","L","8.903"
"task1","qqq","s1","801.8474592265776","455.5242284260414","hat","L","8.972"